id;edad;sexo;municipio;trabajo_actual;educación;tipo_universidad;tipo_dispositivo_rrss;top1_rrss;top2_rrss;top3_rrss;top4_rrss;top5_rrss;internet_fijo;calidad_internet_fijo;fallas_servicio;internet_fijo_positivo;internet_fijo_negativo;fallo_internet_reestablecimiento;tipo_empresa_internet_fijo;cambio_proveedor_reciente;medida_secundaria_fallo_internet_fijo;pago_internet_dolares;acceso_celular_rrss;calidad_navegacion_movil;navegacion_movil_positivo;navegacion_movil_negativo;fac1_ars;fac2_ars;fac3_ars;area_interperso;area_personal_corporal;fac1_bsq;fac2_bsq;fac3_bsq
84;19;Femenino;Municipio Baruta;No;Bachiller;Privada;Celular;Whatsapp;Instagram;TikTok;Facebook;Twitter;No;Muy mala;Todos los días;Otro;Nunca tengo internet;3 meses o más;Privada;No;Internet satelital;No;Sí;Se ha mantenido igual;Los datos nunca se me acaban;Navega muy lento;-1,85009791;-0,284575146;-0,512233262;0,497648549;1,004815882;1,635928424;-0,523131097;-0,24662795
85;18;Femenino;Municipio Libertador;No;Licenciado;Privada;Celular;Whatsapp;Instagram;Twitter;TikTok;Facebook;Sí;Buena;Casi nunca;Nunca se me cae el internet;La navegación es muy lenta;Entre 1 y 2 días;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Todo se descarga rápido y sin interrupciones;Los megas siempre se me acaban;-0,287949427;0,361858114;-0,346749036;-0,476499442;0,169894612;-1,521619895;-0,289610512;0,671569782
86;21;Femenino;Municipio Baruta;No;Bachiller;Pública;Celular, Laptop (Portátil);Whatsapp;Instagram;TikTok;Twitter;Facebook;Sí;Regular hacia buena;Casi nunca;Siempre atienden mis reclamos;La señal se cae constantemente;El mismo día;Privada;No;Dispositivo de Banda Ancha Móvil;No;Sí;Se ha mantenido igual;Navego sin problemas;Los megas son muy caros;-0,219779365;0,357934957;0,471892946;-0,53829863;1,413763201;-0,026122255;-0,673064554;-0,14187522
87;20;Femenino;Municipio Sucre;Sí;Bachiller;Privada;Celular;Instagram;Whatsapp;TikTok;Twitter;Facebook;Sí;Buena;Todos los días;Otro;Hago reclamos y nunca solucionan mis problemas;El mismo día;Privada;Sí;Con datos móviles;Sí;Sí;Ha mejorado;Todo se descarga rápido y sin interrupciones;Los megas siempre se me acaban;-1,076074164;-0,18565972;-0,170305698;0,927334068;-0,31996396;-0,443390003;-0,093015081;-0,02863548
88;22;Femenino;Municipio Baruta;No;Bachiller;Privada;Celular;Whatsapp;Instagram;TikTok;Twitter;Facebook;Sí;Regular hacia buena;Todos los días;Siempre atienden mis reclamos;La señal se cae constantemente;El mismo día;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Todo se descarga rápido y sin interrupciones;Los megas siempre se me acaban;-0,742729948;1,197544665;0,550508508;-1,425252632;1,136608027;-0,089397693;-1,110318239;2,46654219
89;25;Femenino;Municipio Libertador;Sí;Técnico Superior Universitario (TSU);Pública;Celular;Instagram;Whatsapp;TikTok;Twitter;Facebook;Sí;Mala;Todos los días;El servicio es barato;Nunca tengo internet;Entre 4 días y 1 semana;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Navego sin problemas;Los megas siempre se me acaban;-2,004379298;0,400533447;-1,931764563;-1,089269298;-1,918662414;1,123971533;2,275230358;0,697886718
90;23;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular;Whatsapp;Instagram;TikTok;Twitter;Facebook;Sí;Regular hacia buena;Casi nunca;Otro;Otro;El mismo día;Pública;No;Me movilizo a casa de un conocido para usar su internet;No;Sí;Ha mejorado;Otro;Otro;-0,560259805;0,23750483;0,792803571;1,498512054;0,35765239;0,645581322;-0,285400773;1,448309326
91;20;Femenino;Municipio Sucre;No;Bachiller;Privada;Celular;Instagram;TikTok;Twitter;Whatsapp;Facebook;Sí;Muy buena;Casi nunca;La navegación es rápida;Otro;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Ha mejorado;Todo se descarga rápido y sin interrupciones;Los megas siempre se me acaban;0,496087154;0,411760394;-2,056460768;0,206477993;-0,821166148;0,40825384;0,064159465;0,98079331
92;23;Masculino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Whatsapp;Instagram;Facebook;Twitter;TikTok;Sí;Regular hacia mala;Casi nunca;El servicio es barato;La navegación es muy lenta;El mismo día;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Todo se descarga rápido y sin interrupciones;Los megas siempre se me acaban;1,932449077;0,344341487;1,37919019;1,391343827;0,14227094;-0,101994559;-0,516885971;-0,088844672
93;20;Femenino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Whatsapp;TikTok;Instagram;Twitter;Facebook;Sí;Regular hacia buena;Casi nunca;Otro;Hago reclamos y nunca solucionan mis problemas;3 meses o más;Privada;Sí;Internet satelital;No;Sí;Se ha mantenido igual;Otro;Los megas siempre se me acaban;0,553388442;-0,108369008;-2,04711652;0,366185346;-0,637110438;-0,146319076;-0,363585627;-0,201991823
94;19;Masculino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Facebook;Instagram;Twitter;Whatsapp;TikTok;Sí;Regular hacia buena;Casi nunca;El servicio es barato;La navegación es muy lenta;Entre 1 y 2 días;Pública;No;Dispositivo de Banda Ancha Móvil;No;Sí;Se ha mantenido igual;No lo considero positivo por ninguna de las razones anteriores;No lo considero negativo por ninguna de las opciones anteriores;-1,642098119;-2,247468736;0,169062056;0,955915994;0,945874516;-1,254621173;-0,047042642;-0,575592735
95;21;Masculino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Instagram;Instagram;TikTok;Facebook;Twitter;Sí;Buena;Casi nunca;La navegación es rápida;Otro;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Se ha mantenido igual;Todo se descarga rápido y sin interrupciones;Los megas siempre se me acaban;2,223727644;1,35747362;1,651979749;0,318620508;1,30774577;-1,007770708;-0,207486022;-0,553092511
96;21;Femenino;Municipio Libertador;Sí;Bachiller;Privada;Celular, Tablet;Whatsapp;Instagram;Twitter;Facebook;TikTok;Sí;Regular hacia mala;Todos los días;Siempre atienden mis reclamos;Nunca tengo internet;El mismo día;Privada;Sí;Dispositivo de Banda Ancha Móvil;Sí;Sí;Ha mejorado;Navego sin problemas;Nunca tiene señal;-0,036422157;-0,235023268;1,552236469;0,756343299;1,056955909;-0,413548121;-0,498394768;-0,36010779
97;19;Femenino;Municipio Sucre;No;Bachiller;Privada;Celular;Whatsapp;Instagram;TikTok;Facebook;Twitter;Sí;Regular hacia buena;Casi nunca;La navegación es rápida;La señal se cae constantemente;El mismo día;Privada;Sí;Internet satelital;Sí;Sí;Ha mejorado;Los datos nunca se me acaban;No lo considero negativo por ninguna de las opciones anteriores;-0,158175763;1,20795158;0,79734536;0,87927443;0,478489579;-0,872017532;-0,122429792;0,243223912
98;23;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular;Instagram;TikTok;Whatsapp;Facebook;Twitter;Sí;Regular hacia buena;Casi nunca;Siempre tengo internet;La navegación es muy lenta;El mismo día;Privada;No;Con datos móviles;No;Sí;Ha empeorado;Navego sin problemas;Los megas siempre se me acaban;-0,61904994;-0,137992263;-0,265493152;1,316458867;0,7728973;-0,43175821;-0,388584931;-0,622139552
99;19;Femenino;Municipio Sucre;No;Bachiller;Privada;Celular;Whatsapp;Instagram;TikTok;Twitter;Facebook;Sí;Muy buena;Casi nunca;Siempre tengo internet;El servicio es muy caro;El mismo día;Privada;Sí;Internet satelital;Sí;Sí;Ha mejorado;Todo se descarga rápido y sin interrupciones;Los megas siempre se me acaban;-1,331112858;0,318440301;-0,473654204;0,222949862;0,847685148;2,142714665;0,616610977;0,122411466
